132.114	143
492	504
262.074	273.172
367.433	380
67.135	75.022
417	423.958
171.919	182.198
120	132.02
362	371.305
327.336	337.729
623.105	633.814
614.043	621.808
37.416	47.246
59.324	69.988
593.461	604.434
351.097	361.492
301.28	312
118.56	126.117
230.325	241.567
603.586	615.683
28.871	38.497
618.708	628.149
368.245	381.921
238.764	248
283.236	295.013
741	751.936
437.228	447.474
145	158.793
392.989	403
13.613	23
377.312	387.917
243.47	253.499
394.59	403.046
332.542	341
98.611	108
68	75
661	672
126.522	136.416
673.363	684.6
149	159.071
381	389
731	740.227
440.095	448
433.624	443.893
679.418	688.652
9.336	16.413
463	472.181
404	413.333
376.85	387
269	278.916
422	432
542.898	550.19
208.419	219.732
4.379	13
610.142	620.993
67	75.246
694	703.216
618	627.092
36	46
397.11	410.254
499.954	510
283.363	291.108
152	162
209.586	220
50	58
43.039	53.403
647	660
691.785	701.371
35.429	45
220.051	228.988
742.856	754.318
69.826	77.958
272.239	282.19
116.323	127.626
613.832	624
95.274	106
696.29	704.051
343	353
511.91	521.39
524.355	534
88	97.144
10.849	20.941
695	706.127
732.393	741.686
600.459	607.975
233	243
667.839	677
97	109
557.115	568
451	460.74
98	107.484
639	646.42
720	730.977
653.824	661
249.911	258.764
604.437	615.711
541.375	550.411
668	680.982
93	102.486
323.186	331.377
338.919	348.294
484.863	495.943
675.291	683.217
305.09	316.096
633	643.604
250.868	259.006
199	206.237
230.135	240.045
711.342	721.379
734.172	742.04
148.83	155
463.941	470.076
732	739.898
28.159	40
223	230.846
706.635	714
701	709.093
55.203	66
740.624	753.948
58.494	68.776
0.378	9.919
239	249.223
32	42.85
3.65	15.857
331.603	341.018
664.704	674.278
296.968	307
458	466
154	166.068
516	526
34.07	45
69.108	79.161
386.36	395.663
621	631
686.147	696.217
596.173	605.929
409.472	420.888
326.11	337.552
26.901	37.952
235.368	245.195
16.428	26
447	459.445
497	510.382
334	344.841
104.761	113.459
100.662	107.217
14.494	25
422.037	429.828
237	246
511	521.083
49.494	57
403.896	417.141
719.636	729.844
63.535	75.114
468.465	478.393
359	368.265
377.313	389.949
43.468	53
171.358	181.245
740	750
292	301.711
487.449	495.019
54	67.666
412.192	422.868
674	684
472.573	483.875
245.582	256.274
392.515	402.03
148.16	158.719
402	412
458.723	466.507
469.095	479
170.333	177.82
648.976	660.614
719.71	731
279.094	292.351
492	501.651
381.011	391.613
22.357	31.354
139	147
454.596	465.734
184.913	196
337	349.205
661.557	668.816
272.605	279.361
447.7	454.213
589	597.948
6.107	16.664
479.834	492.123
734.317	747.017
656	667.995
545.569	556.676
340.925	349.909
